"source","variant","age_band","age_from","age_to","living_arrangement","payment_category","payment_category_share","income_lower","income_upper","weighted_mean_income","income_bin_share","weighted_n","base_income_year","income_growth_default","caveat_flags"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,5000,10000,7284.24471760797,0.0437977446344125,0.00832182751675937,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,10000,15000,12361.5264047151,0.0370316478719534,0.00703622957812379,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,15000,20000,17399.4454954035,0.0356129501636959,0.00676666872002278,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,20000,30000,24763.9161359345,0.0578028373954165,0.0109828770133975,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,30000,50000,39813.6042366542,0.106984357948345,0.0203276534275659,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,50000,75000,61566.8051905626,0.100218261185886,0.0190420554889303,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,75000,1e+05,86306.5925153374,0.0592942888323027,0.0112662615052473,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,100000,150000,121850.665802708,0.0564205165514733,0.0107202279721709,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,150000,250000,219909.16,0.039068752273554,0.00742329132308934,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_living_alone","single_living_alone",0.19000584587684,250000,Inf,0,0,0,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,0,500,0,0.318006547835577,0.0352372230615838,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
